(总词数)	2854	6603	9457
(数字)	100	135	235
(日期)	6	12	18
(时间)	8	3	11
——	7	22	29
“	2	1	3
”	2	1	3
…	1	0	1
、	13	3	16
。	65	327	392
一	0	0	0
一丝一缕	1	0	1
一些	4	0	4
一任	1	0	1
一切	8	16	24
一座座	1	0	1
一无所有	1	0	1
一旦	1	2	3
一望无边	2	0	2
一望无际	1	0	1
一条条	1	0	1
一棵松	1	0	1
一棵棵	1	0	1
一步步	1	0	1
一生	5	0	5
一瞬间	1	2	3
一线光明	1	0	1
一般	2	1	3
一队队	2	0	2
一面	1	1	2
万物	1	3	4
丈夫	1	0	1
上	16	18	34
下	3	3	6
不	3	17	20
不了	1	0	1
不会	2	3	5
不住	4	0	4
不再	1	5	6
不到	1	0	1
不同	1	0	1
不平凡	1	0	1
不幸	0	0	0
不必	1	1	2
不断	1	0	1
不曾	2	1	3
不朽	1	1	2
不由	0	0	0
不由得	1	0	1
不知	3	2	5
不知不觉	1	0	1
不知名	1	0	1
不管	2	1	3
不能	3	2	5
不要	4	1	5
世界	6	4	10
丛	1	0	1
东西	1	0	1
丢	1	0	1
两样	1	0	1
严冬	1	0	1
严肃	1	0	1
个	28	23	51
个人	1	1	2
中	4	24	28
中间	2	2	4
为	4	12	16
为了	10	1	11
为什么	3	0	3
举动	1	0	1
乌云	1	0	1
乍	2	0	2
也	10	11	21
乡	1	1	2
书籍	1	0	1
了	30	12	42
事	1	1	2
事体	2	0	2
事物	2	4	6
云	2	0	2
些	10	0	10
交	1	1	2
交媾	1	0	1
交错	2	0	2
享	1	0	1
享用	1	0	1
亲密	5	1	6
人	4	24	28
人世	3	0	3
人们	1	2	3
人生	2	0	2
人类	1	2	3
人迹	1	0	1
人间	4	0	4
什么	6	10	16
什么是	1	2	3
从	17	23	40
他	4	45	49
他们	8	15	23
以外	1	0	1
以来	1	1	2
件	1	0	1
仿佛	2	4	6
会	5	3	8
伟大	1	0	1
伸	1	0	1
但	3	19	22
但愿	1	0	1
但是	7	0	7
低	1	0	1
住	6	1	7
何处	1	3	4
作	3	2	5
你	57	114	171
你们	8	40	48
依稀	1	0	1
依附	1	0	1
便	8	0	8
保持	1	0	1
保留	1	1	2
停息	2	0	2
健儿	1	0	1
健康	1	0	1
儿	1	0	1
儿子	1	0	1
儿孙	1	0	1
儿童	1	0	1
充满	1	1	2
光	5	4	9
光彩	1	0	1
光明	1	1	2
光照	1	0	1
入	5	5	10
全	1	4	5
全身	1	0	1
关联	1	4	5
关闭	1	0	1
养分	1	0	1
内	3	4	7
再见	1	0	1
写	1	0	1
农妇	1	0	1
冠盖	1	0	1
冰块	1	0	1
冲	1	0	1
冷	2	0	2
准备	2	0	2
凋落	1	0	1
凋零	1	0	1
凌空	1	0	1
凝结	1	0	1
几	9	2	11
几个	2	0	2
出	5	8	13
出乎意料	1	0	1
出来	3	0	3
出现	2	1	3
分	1	0	1
分成	2	0	2
分歧	1	0	1
分裂	1	0	1
刚刚	1	4	5
创	1	0	1
初	1	0	1
初次	1	0	1
初生	1	0	1
利	1	0	1
别离	3	0	3
到	6	4	10
到处	1	0	1
前	6	1	7
前生	1	0	1
剥	1	0	1
剩下	2	0	2
力量	1	4	5
加	1	0	1
化	3	2	5
化成	6	0	6
化身	2	0	2
匹	1	1	2
区分	1	0	1
升华	1	0	1
半月	1	0	1
单	1	2	3
占	1	2	3
危险	2	3	5
却	9	12	21
原野	8	2	10
去	2	10	12
去处	1	0	1
参加	1	0	1
又	11	8	19
发光	1	0	1
发现	1	0	1
发肤	1	0	1
取	2	0	2
变	2	0	2
变幻	1	1	2
变成	1	0	1
变质	1	0	1
古	1	2	3
古代	1	1	2
句	1	1	2
另	0	2	2
另一个	1	0	1
只	11	9	20
只有	2	4	6
可	3	12	15
可怜	1	0	1
可是	4	8	12
叶	1	2	3
叹息	1	2	3
各自	2	1	3
吊桥	1	0	1
同样	2	2	4
名姓	1	0	1
名称	2	2	4
名言	1	0	1
后	2	0	2
向	12	11	23
向上	1	2	3
向往	2	0	2
向日	1	0	1
吠	2	0	2
否定	1	0	1
吧	1	17	18
听	6	3	9
听到	1	0	1
启明	1	0	1
启示	1	0	1
吸	1	0	1
吹	1	1	2
吹入	1	0	1
呈	1	0	1
呼叫	1	0	1
呼吁	1	0	1
呼应	1	0	1
命	3	0	3
命运	1	7	8
和	12	31	43
和暖	2	0	2
哀歌	1	0	1
哪	4	3	7
哭声	1	0	1
唱	2	1	3
啊	1	3	4
啼哭	2	0	2
喧哗	1	0	1
喧嚣	1	1	2
四围	1	0	1
回	4	1	5
回到	3	1	4
回去	1	0	1
回春	1	0	1
回来	2	2	4
土	1	0	1
土豆	1	0	1
圣	2	1	3
在	65	91	156
地	8	17	25
地方	3	2	5
埃	1	1	2
埋怨	1	0	1
城	2	0	2
城市	2	1	3
堕落	2	0	2
塔	1	0	1
填	1	0	1
墙壁	1	0	1
壮美	1	0	1
声	2	3	5
声音	1	2	3
壳	1	0	1
壶	1	0	1
处	2	0	2
处处	1	0	1
复活	1	1	2
外	1	0	1
多	1	3	4
多半	1	0	1
多少	9	3	12
夜	5	2	7
夜深	1	0	1
夜色	1	0	1
夜风	1	0	1
大	1	2	3
大海	1	1	2
天	4	3	7
天天	2	0	2
天空	2	2	4
天边	2	0	2
太	1	5	6
太空	1	0	1
太阳	1	0	1
夫妇	1	0	1
头	4	2	6
奇迹	1	0	1
奔	1	1	2
好	9	2	11
如	1	5	6
如今	3	3	6
如果	1	0	1
姓名	1	0	1
姿态	1	0	1
威尼斯	1	0	1
婴儿	1	0	1
子孙	1	1	2
存在	1	13	14
孤	1	1	2
学习	1	2	3
宁静	2	1	3
它	13	82	95
它们	4	20	24
宇宙	3	2	5
安排	4	0	4
完了	1	0	1
完成	1	4	5
定	1	0	1
定形	1	0	1
宛转	1	0	1
实在	1	0	1
家庭	1	0	1
寂寞	4	0	4
对	2	7	9
对面	1	0	1
寻	1	1	2
将来	3	0	3
小	3	1	4
小小	1	1	2
小心翼翼	1	0	1
小狗	1	0	1
小草	2	0	2
小路	6	0	6
尘	1	0	1
就	4	14	18
就是	2	7	9
居住	1	0	1
展开	1	0	1
山坡	1	0	1
山巅	2	0	2
山川	2	0	2
山村	1	0	1
山水	1	0	1
屹然不动	1	0	1
岁月	2	1	3
岛	2	0	2
岛屿	1	0	1
嵌	1	1	2
工作	2	0	2
已	4	18	22
已经	3	3	6
市	2	0	2
市民	1	0	1
希望	1	2	3
带来	1	0	1
带走	1	0	1
常常	4	2	6
平凡	2	0	2
平原	3	0	3
平静	1	1	2
年	4	3	7
年前	1	0	1
年纪	1	0	1
年龄	1	0	1
并	0	12	12
并没有	1	0	1
幻灭	1	0	1
广漠	1	0	1
度过	2	0	2
座	5	1	6
廛	1	0	1
开	3	0	3
引出	1	0	1
引导	1	0	1
归	2	3	5
当	2	8	10
彗星	2	0	2
形体	1	0	1
形容	1	0	1
形象	1	6	7
得	0	6	6
得到	3	1	4
微弱	1	1	2
微笑	1	2	3
心	3	12	15
心意	1	0	1
心慌	1	0	1
心灵	1	3	4
心里	1	2	3
忍受	1	0	1
忘	1	0	1
忘却	1	1	2
忘记	1	0	1
忧患	1	0	1
忧愁	1	0	1
念	2	0	2
忽然	8	0	8
怀	2	1	3
怎么	1	0	1
怎样	2	8	10
怕	1	1	2
思	1	0	1
思虑	1	0	1
悄	1	2	3
悲欢	1	0	1
情怀	1	0	1
惩罚	1	0	1
想	3	2	5
想到	2	0	2
意义	1	2	3
意想不到	1	0	1
愚蠢	2	0	2
感到	6	2	8
感受	2	0	2
感叹	1	0	1
感谢	2	0	2
愿	1	4	5
成	2	4	6
成为	1	0	1
成就	1	0	1
成熟	1	8	9
成长	1	1	2
我	18	34	52
我们	71	90	161
或	2	6	8
或是	2	2	4
战场	2	0	2
战士	1	0	1
房	2	0	2
扁柏	1	0	1
扇	1	0	1
才能	1	1	2
承受	1	1	2
把	20	10	30
投向	1	0	1
投身	1	0	1
