Query >939	 [np] 不禁/d [vp] 
2546	 c [np] c 不/d a 
125	 不一而足/v 
544	 [np] [pp] [np] 不/d [vp] 
286	 u 不同/a u [vp] 
110	 不但/c r 
105	 不怕牺牲/v 
95	 不消/v [vp] 
1739	 p [vp] 不断/d [vp] 
189	 c [advp] 不/d [advp] [vp] 
2428	 c 不管/c [vp] 
88	 不进则退/v 
120651	 [advp] r 不/d [vp] y 
2393	 r [advp] 不/d [advp] [vp] y 
109	 c 不/d [vp] 不/d [vp] 
136	 c 不出所料/v 
72	 [np] g 不/d a 
2613	 c [advp] 不/d [vp] [advp] [vp] 
201	 c [np] [vp] 不/d [vp] 
141	 不管/c [vp] 不/d [vp] 
442	 c 不幸/a u [vp] 
203	 不/d [vp] a 不/d [vp] 
145	 [vp] 不亦乐乎/v 
74	 [np] 不如/v [np] 
77	 r 不管/v 
67	 不务正业/v 
67	 c [advp] 不/d [advp] a 
1450	 r [advp] [vp] 不/d a u 
94	 不知/v [pp] [vp] 
173	 [advp] [vp] 不易/a 
65	 不过/c l 
1758	 r 不再/d [vp] y 
64	 r 不/d y 
54234	 c r [advp] 不/d [vp] y 
78	 不/d a m [vp] 
60	 不过/c y 
413	 c 不/d [vp] [pp] [vp] 
126	 不拘一格/v [vp] 
59	 不徇私情/v 
64	 [np] [advp] 不堪设想/v 
502	 不要紧/v u 
543	 r 不断/d u [vp] 
1846	 c [np] c 不/d [vp] 
96	 r 不假思索/l u [vp] 
342	 [np] 不予/v [vp] 
131	 r 不解/v u [vp] 
308	 r [advp] [vp] 不/d f [vp] 
51	 [np] 不息/v 
74	 不拘/v [np] 
1544	 [np] [vp] [qp] 不/d [vp] 
87	 不过/c p [vp] 
50	 c 不然/v 
3832	 c r 不/d [vp] y 
111	 r 不耐烦/a u [vp] 
688	 r 不能/v [advp] [vp] y 
186	 r [advp] 不/d p y 
326	 r [advp] 不用/d [vp] y 
104	 p 不/d u [vp] 
112	 c r 不/d [vp] [advp] [vp] 
548	 r 不仅/c [np] a 
86	 r 不难/d [vp] 
79	 c [vp] 不/d y 
65	 [vp] g u g 不/d [pp] 
65	 不觉/d [vp] 
